class_id,canonical_species_name,scientific_name,total_images,train_count,val_count,test_count,sources
DRAVYA_0075,Leucas aspera (Thumbe),Leucas aspera,74,59,7,8,Hugging_Face
DRAVYA_0076,Eclipta prostrata (Bhringraj),Eclipta prostrata,73,58,7,8,Hugging_Face
DRAVYA_0077,Brassica oleracea var. gongylodes (Kohlrabi),Brassica oleracea,73,58,7,8,Hugging_Face
DRAVYA_0078,Padri,Unknown,73,58,7,8,Hugging_Face
DRAVYA_0084,Capsicum spp. (Chilli),Capsicum spp.,69,55,7,7,Hugging_Face
DRAVYA_0085,Colocasia esculenta (Taro),Colocasia esculenta,69,55,7,7,Hugging_Face
DRAVYA_0086,Tecoma spp.,Tecoma spp.,66,53,7,6,Hugging_Face
DRAVYA_0088,Ruta graveolens (Common Rue),Ruta graveolens,67,54,7,6,Hugging_Face
DRAVYA_0089,Ocimum basilicum var. pilosum (Kamakasturi),Ocimum basilicum,67,54,7,6,Hugging_Face
DRAVYA_0091,Cinnamomum camphora (Camphor Tree),Cinnamomum camphora,66,53,7,6,Hugging_Face
DRAVYA_0092,Solanum lycopersicum (Tomato),Solanum lycopersicum,62,50,6,6,Hugging_Face
DRAVYA_0093,Acalypha indica (Indian Copperleaf),Acalypha indica,124,99,12,13,Hugging_Face
DRAVYA_0094,Ocimum basilicum (Sweet Basil),Ocimum basilicum,123,98,12,13,Hugging_Face
DRAVYA_0095,Nerale,Unknown,62,50,6,6,"Hugging_Face, Kaggle"
DRAVYA_0096,Magnolia champaca (Sampige),Magnolia champaca,61,49,6,6,Hugging_Face
DRAVYA_0097,Physalis peruviana (Cape Gooseberry),Physalis peruviana,122,98,12,12,Hugging_Face
DRAVYA_0099,Trigonella foenum-graecum (Fenugreek),Trigonella foenum-graecum,116,93,12,11,Hugging_Face
DRAVYA_0100,Urtica dioica (Stinging Nettle),Urtica dioica,106,85,11,10,Hugging_Face
DRAVYA_0101,Parijatha-Nyctanthes Arbor-Tristis,Nyctanthes arbor,40,32,4,4,Hugging_Face
DRAVYA_0102,Amaranthus titan (Giant Pigweed),Amaranthus titan,103,82,10,11,Hugging_Face
DRAVYA_0103,Digera muricata (False Amaranth),Digera muricata,101,81,10,10,Hugging_Face
