candidate_canonical_name,scientific_name,taxon_category,total_images,dataset_count,datasets_present,status,cimpd_healthy_images,cimpd_unhealthy_images,raw_classes_count
Magnolia champaca (Sampige),Magnolia champaca,Tree,122,2,"Hugging_Face, Kaggle",UNRESOLVED_VERNACULAR,0,0,2
Physalis peruviana (Cape Gooseberry),Physalis peruviana,Shrub,122,1,Hugging_Face,APPROVED_HARMONIZED,0,0,1
Unresolved Kambajala Leaf,Unknown,Herb,118,2,"Hugging_Face, Kaggle",UNRESOLVED_VERNACULAR,0,0,2
Trigonella foenum-graecum (Fenugreek),Trigonella foenum-graecum,Herb,116,1,Hugging_Face,APPROVED_HARMONIZED,0,0,2
Urtica dioica (Stinging Nettle),Urtica dioica,Herb,106,1,Hugging_Face,APPROVED_HARMONIZED,0,0,1
Parijatha-Nyctanthes Arbor-Tristis,Nyctanthes arbor,Herb/Plant,106,1,Hugging_Face,SINGLE_DATASET_UNIQUE,0,0,1
Amaranthus titan (Giant Pigweed),Amaranthus titan,Herb,103,1,Hugging_Face,APPROVED_HARMONIZED,0,0,1
Digera muricata (False Amaranth),Digera muricata,Herb,101,1,Hugging_Face,APPROVED_HARMONIZED,0,0,1
Citron Lime (Herelikai),Unknown,Herb/Plant,99,1,Kaggle,SINGLE_DATASET_UNIQUE,0,0,1
Citron Lime (Herelikai)-Citrus Medica (Citron) Or Citrus Aurantiifolia (Lime),Citrus medica,Herb/Plant,99,1,Hugging_Face,SINGLE_DATASET_UNIQUE,0,0,1
Clitoria ternatea (Butterfly Pea),Clitoria ternatea,Vine,98,2,"Hugging_Face, Kaggle",APPROVED_HARMONIZED,0,0,2
Unresolved Kasambruga Leaf,Unknown,Herb,96,2,"Hugging_Face, Kaggle",UNRESOLVED_VERNACULAR,0,0,2
Onion,Unknown,Herb/Plant,92,1,Kaggle,SINGLE_DATASET_UNIQUE,0,0,1
Pumpkin,Unknown,Herb/Plant,92,1,Kaggle,SINGLE_DATASET_UNIQUE,0,0,1
Onion-Allium Cepa,Allium cepa,Herb/Plant,92,1,Hugging_Face,SINGLE_DATASET_UNIQUE,0,0,1
Pumpkin-Cucurbita Pepo,Cucurbita pepo,Herb/Plant,92,1,Hugging_Face,SINGLE_DATASET_UNIQUE,0,0,1
Nelavembu,Unknown,Herb/Plant,90,1,Kaggle,SINGLE_DATASET_UNIQUE,0,0,1
Nelavembu-Andrographis Paniculata,Andrographis paniculata,Herb/Plant,90,1,Hugging_Face,SINGLE_DATASET_UNIQUE,0,0,1
Amaranthus tricolor (Red Amaranth),Amaranthus tricolor,Leafy Herb,89,1,Hugging_Face,APPROVED_HARMONIZED,0,0,1
Acalypha reptans (Dwarf Copperleaf),Acalypha reptans,Herb,88,1,Hugging_Face,APPROVED_HARMONIZED,0,0,1
Hemidesmus indicus (Anantamul),Hemidesmus indicus,Shrub/Climber,84,1,Hugging_Face,APPROVED_HARMONIZED,0,0,1
Lagos Spinach_Celosia Argentea,Celosia argentea,Herb/Plant,84,1,Hugging_Face,SINGLE_DATASET_UNIQUE,0,0,1
Celery_Apium Graveolens,Apium graveolens,Herb/Plant,82,1,Hugging_Face,SINGLE_DATASET_UNIQUE,0,0,1
Jatropha gossypiifolia (Bellyache Bush),Jatropha gossypiifolia,Shrub,81,1,Hugging_Face,APPROVED_HARMONIZED,0,0,1
Mustard_Brassica Juncea,Brassica juncea,Herb/Plant,80,1,Hugging_Face,SINGLE_DATASET_UNIQUE,0,0,1
Malabar_Spinach,Unknown,Herb/Plant,79,1,Kaggle,SINGLE_DATASET_UNIQUE,0,0,1
Acalypha wilkesiana (Red Copperleaf),Acalypha wilkesiana,Shrub,79,1,Hugging_Face,APPROVED_HARMONIZED,0,0,1
Curcuma longa (Turmeric),Curcuma longa,Herb,78,2,"Hugging_Face, Kaggle",APPROVED_HARMONIZED,0,0,2
Mountain Knotgrass_Aerva Lanata,Aerva lanata,Herb/Plant,78,1,Hugging_Face,SINGLE_DATASET_UNIQUE,0,0,1
Punarnava_Boerhavia Diffusa,Boerhavia diffusa,Herb/Plant,76,1,Hugging_Face,SINGLE_DATASET_UNIQUE,0,0,1
Pomoegranate,Unknown,Herb/Plant,75,1,Kaggle,SINGLE_DATASET_UNIQUE,0,0,1
Acorus calamus (Vacha/Sweet Flag),Acorus calamus,Herb,75,1,Hugging_Face,APPROVED_HARMONIZED,0,0,1
Carissa carandas (Karanda),Carissa carandas,Shrub,74,1,Hugging_Face,APPROVED_HARMONIZED,0,0,1
Nalta Jute_Corchorus Olitorius,Corchorus olitorius,Herb/Plant,73,1,Hugging_Face,SINGLE_DATASET_UNIQUE,0,0,1
Mucuna pruriens (Kaunch/Velvet Bean),Mucuna pruriens,Climber,72,1,Hugging_Face,APPROVED_HARMONIZED,0,0,1
Purple Fruited Pea Eggplant_Solanum Trilobatum,Solanum trilobatum,Herb/Plant,70,1,Hugging_Face,SINGLE_DATASET_UNIQUE,0,0,1
Abutilon indicum (Country Mallow),Abutilon indicum,Shrub,69,1,Hugging_Face,APPROVED_HARMONIZED,0,0,1
Andrographis paniculata (Kalmegh/Green Chireta),Andrographis paniculata,Herb,69,1,Hugging_Face,APPROVED_HARMONIZED,0,0,1
Lambs Quarters_Chenopodium Album,Chenopodium album,Herb/Plant,69,1,Hugging_Face,SINGLE_DATASET_UNIQUE,0,0,1
Panicled Foldwing_Dicliptera Paniculata,Dicliptera paniculata,Herb/Plant,68,1,Hugging_Face,SINGLE_DATASET_UNIQUE,0,0,1
Amaranthus tristis (Siru Keerai),Amaranthus tristis,Leafy Herb,68,1,Hugging_Face,APPROVED_HARMONIZED,0,0,1
Artemisia indica (Indian Wormwood),Artemisia indica,Herb,67,1,Hugging_Face,APPROVED_HARMONIZED,0,0,1
Parijatha,Unknown,Herb/Plant,66,1,Kaggle,SINGLE_DATASET_UNIQUE,0,0,1
Senna auriculata (Avaram),Senna auriculata,Shrub,66,1,Hugging_Face,APPROVED_HARMONIZED,0,0,1
Cissus quadrangularis (Hadjod),Cissus quadrangularis,Vine,66,1,Hugging_Face,APPROVED_HARMONIZED,0,0,1
Ziziphus mauritiana (Indian Jujube/Ber),Ziziphus mauritiana,Tree,66,1,Hugging_Face,APPROVED_HARMONIZED,0,0,1
Rosary Pea_Abrus Precatorius,Abrus precatorius,Herb/Plant,66,1,Hugging_Face,SINGLE_DATASET_UNIQUE,0,0,1
Passiflora foetida (Stinking Passionflower),Passiflora foetida,Vine,66,1,Hugging_Face,APPROVED_HARMONIZED,0,0,1
Diodia teres (Shaggy Button Weed),Diodia teres,Herb,65,1,Hugging_Face,APPROVED_HARMONIZED,0,0,1
Centella asiatica (Gotu Kola/Indian Pennywort),Centella asiatica,Herb,64,1,Hugging_Face,APPROVED_HARMONIZED,0,0,1
Lettuce Tree_Pisonia Grandis,Pisonia grandis,Herb/Plant,64,1,Hugging_Face,SINGLE_DATASET_UNIQUE,0,0,1
Land Caltrops (Bindii)_Tribulus Cistoides,Tribulus cistoides,Herb/Plant,63,1,Hugging_Face,SINGLE_DATASET_UNIQUE,0,0,1
Peepal Tree_Ficus Religiosa,Ficus religiosa,Herb/Plant,63,1,Hugging_Face,SINGLE_DATASET_UNIQUE,0,0,1
Oleander_Nerium Oleander,Nerium oleander,Herb/Plant,62,1,Hugging_Face,SINGLE_DATASET_UNIQUE,0,0,1
Amaranthus dubius (Chinese Spinach),Amaranthus dubius,Leafy Herb,60,1,Hugging_Face,APPROVED_HARMONIZED,0,0,1
Tridax procumbens (Coatbuttons),Tridax procumbens,Herb,60,1,Hugging_Face,APPROVED_HARMONIZED,0,0,1
Sida rhombifolia (Common Wireweed),Sida rhombifolia,Herb,60,1,Hugging_Face,APPROVED_HARMONIZED,0,0,1
Kokilaksha_Asteracantha Longifolia,Asteracantha longifolia,Herb/Plant,59,1,Hugging_Face,SINGLE_DATASET_UNIQUE,0,0,1
Purple Tephrosia_Tephrosia Purpurea,Tephrosia purpurea,Herb/Plant,59,1,Hugging_Face,SINGLE_DATASET_UNIQUE,0,0,1
Commelina benghalensis (Dayflower),Commelina benghalensis,Herb,58,1,Hugging_Face,APPROVED_HARMONIZED,0,0,1
Santalum album (Sandalwood),Santalum album,Tree,58,1,Hugging_Face,APPROVED_HARMONIZED,0,0,1
Datura metel (Indian Thornapple),Datura metel,Shrub,57,1,Hugging_Face,APPROVED_HARMONIZED,0,0,1
Marsilea minuta (Water Clover),Marsilea minuta,Fern,57,1,Hugging_Face,APPROVED_HARMONIZED,0,0,1
Cissus sicyoides (Trellis Vine),Cissus sicyoides,Vine,57,1,Hugging_Face,APPROVED_HARMONIZED,0,0,1
Tabernaemontana divaricata (Crape Jasmine),Tabernaemontana divaricata,Shrub,56,1,Hugging_Face,APPROVED_HARMONIZED,0,0,1
Muntingia calabura (Jamaica Cherry),Muntingia calabura,Tree,56,1,Hugging_Face,APPROVED_HARMONIZED,0,0,1
Syzygium jambos (Rose Apple),Syzygium jambos,Tree,56,1,Hugging_Face,APPROVED_HARMONIZED,0,0,1
Mexican Prickly Poppy_Argemone Mexicana,Argemone mexicana,Herb/Plant,55,1,Hugging_Face,SINGLE_DATASET_UNIQUE,0,0,1
Cleome viscosa (Spiderwisp),Cleome viscosa,Herb,55,1,Hugging_Face,APPROVED_HARMONIZED,0,0,1
Ipomoea aquatica (Water Spinach),Ipomoea aquatica,Aquatic Herb,55,1,Hugging_Face,APPROVED_HARMONIZED,0,0,1
Night Blooming Cereus_Epiphyllum Oxypetalum,Epiphyllum oxypetalum,Herb/Plant,54,1,Hugging_Face,SINGLE_DATASET_UNIQUE,0,0,1
Prickly Chaff Flower_Achyranthes Aspera,Achyranthes aspera,Herb/Plant,54,1,Hugging_Face,SINGLE_DATASET_UNIQUE,0,0,1
Hibiscus sabdariffa (Roselle/Gongura),Hibiscus sabdariffa,Shrub,53,1,Hugging_Face,APPROVED_HARMONIZED,0,0,1
Madras Pea Pumpkin_Sesbania Grandiflora,Sesbania grandiflora,Herb/Plant,53,1,Hugging_Face,SINGLE_DATASET_UNIQUE,0,0,1
Senna alexandrina (Tinnevelly Senna),Senna alexandrina,Shrub,53,1,Hugging_Face,APPROVED_HARMONIZED,0,0,1
Malabar_Nut,Unknown,Herb/Plant,51,1,Kaggle,SINGLE_DATASET_UNIQUE,0,0,1
Coccinia grandis (Ivy Gourd),Coccinia grandis,Vine,51,1,Hugging_Face,APPROVED_HARMONIZED,0,0,1
Malabar_Nut-Justicia Adhatoda,Justicia adhatoda,Herb/Plant,51,1,Hugging_Face,SINGLE_DATASET_UNIQUE,0,0,1
Rasna_Alpinia Galanga,Alpinia galanga,Herb/Plant,50,1,Hugging_Face,SINGLE_DATASET_UNIQUE,0,0,1
Ficus auriculata (Roxburgh Fig),Ficus auriculata,Tree,50,1,Hugging_Face,APPROVED_HARMONIZED,0,0,1
Pea-Pisum Sativum,Pisum sativum,Herb/Plant,47,1,Hugging_Face,SINGLE_DATASET_UNIQUE,0,0,1
Raddish,Unknown,Herb/Plant,40,1,Kaggle,SINGLE_DATASET_UNIQUE,0,0,1
Raddish-Raphanus Sativus,Raphanus sativus,Herb/Plant,40,1,Hugging_Face,SINGLE_DATASET_UNIQUE,0,0,1
Syzygium cumini (Jamun),Syzygium cumini,Tree,39,1,Hugging_Face,APPROVED_HARMONIZED,0,0,1
Unspecified Leaf Samples,Unknown,Junk,11,1,CIMPd,INVALID_NON_PLANT,0,0,1
