group_id,sha256,total_files,redundant_copies,datasets_present,raw_class_folders,mapped_species,approval_statuses,representative_dataset,representative_relative_path,has_class_conflict,has_species_conflict,has_status_conflict
DUP_00015,4b4b9003c9d63400c79b9a0591ae82c94c3d32c62a6d72208db2a6e8401ef3fb,2,1,"Hugging_Face, Kaggle",Hugging_Face:Aloevera-Aloe barbadensis | Kaggle:Medicinal Leaf dataset\Aloevera,Aloe vera,APPROVED,Hugging_Face,Aloevera-Aloe barbadensis\124.jpg,True,False,False
DUP_00016,c3beede7740e94b465ed24fbc491f5c22819f2d22ffc3de0921f072eb2c19bff,2,1,"Hugging_Face, Kaggle",Hugging_Face:Aloevera-Aloe barbadensis | Kaggle:Medicinal Leaf dataset\Aloevera,Aloe vera,APPROVED,Hugging_Face,Aloevera-Aloe barbadensis\126.jpg,True,False,False
DUP_00017,a57baffdc3720ec346199932ba9b7a66558fa203a8033aec29238052e0af23a8,2,1,"Hugging_Face, Kaggle",Hugging_Face:Aloevera-Aloe barbadensis | Kaggle:Medicinal Leaf dataset\Aloevera,Aloe vera,APPROVED,Hugging_Face,Aloevera-Aloe barbadensis\128.jpg,True,False,False
DUP_00018,e2683f11d874e554e5606c82ce2e6cf02f562375fc3f85a3f74a1798fa77cb2b,2,1,"Hugging_Face, Kaggle",Hugging_Face:Aloevera-Aloe barbadensis | Kaggle:Medicinal Leaf dataset\Aloevera,Aloe vera,APPROVED,Hugging_Face,Aloevera-Aloe barbadensis\130.jpg,True,False,False
DUP_00019,92f26a4c09722c09f3d44b36ba47b38da388de2bbebe836aa3eb3aa5e7999629,2,1,"Hugging_Face, Kaggle",Hugging_Face:Aloevera-Aloe barbadensis | Kaggle:Medicinal Leaf dataset\Aloevera,Aloe vera,APPROVED,Hugging_Face,Aloevera-Aloe barbadensis\132.jpg,True,False,False
DUP_00020,1b65994af35faac5f6fec821aeb80ae555bbb812ee4cfa34e006ff320515ef3d,2,1,"Hugging_Face, Kaggle",Hugging_Face:Aloevera-Aloe barbadensis | Kaggle:Medicinal Leaf dataset\Aloevera,Aloe vera,APPROVED,Hugging_Face,Aloevera-Aloe barbadensis\134.jpg,True,False,False
DUP_00021,f438491351972a7a25afb2ed8c46919ac1888b929d90ba1e2e3c022d95b79e90,2,1,"Hugging_Face, Kaggle",Hugging_Face:Aloevera-Aloe barbadensis | Kaggle:Medicinal Leaf dataset\Aloevera,Aloe vera,APPROVED,Hugging_Face,Aloevera-Aloe barbadensis\136.jpg,True,False,False
DUP_00022,21f3bbfcf5c078303c5a8e3806f709d5293ef317d8dadfe41df7ae20fed73ce1,2,1,"Hugging_Face, Kaggle",Hugging_Face:Aloevera-Aloe barbadensis | Kaggle:Medicinal Leaf dataset\Aloevera,Aloe vera,APPROVED,Hugging_Face,Aloevera-Aloe barbadensis\138.jpg,True,False,False
DUP_00023,5536b3143fa1dc4619060dba319e23bb4b1d96d746b1440522c0fb23b58d4cba,2,1,"Hugging_Face, Kaggle",Hugging_Face:Aloevera-Aloe barbadensis | Kaggle:Medicinal Leaf dataset\Aloevera,Aloe vera,APPROVED,Hugging_Face,Aloevera-Aloe barbadensis\14.jpg,True,False,False
DUP_00024,bbc1b134210e1003035ab592fe9e7fbc65ddf2260466e07211eed4d008aab7f1,2,1,"Hugging_Face, Kaggle",Hugging_Face:Aloevera-Aloe barbadensis | Kaggle:Medicinal Leaf dataset\Aloevera,Aloe vera,APPROVED,Hugging_Face,Aloevera-Aloe barbadensis\140.jpg,True,False,False
DUP_00025,aab980673101de4ee92833560add9889c8017b88efb6fff765e8dd8153bb0000,2,1,"Hugging_Face, Kaggle",Hugging_Face:Aloevera-Aloe barbadensis | Kaggle:Medicinal Leaf dataset\Aloevera,Aloe vera,APPROVED,Hugging_Face,Aloevera-Aloe barbadensis\142.jpg,True,False,False
DUP_00026,a7abd60af3d3120243fdb26aeeaf28835a6e619ffc422d002f49da3d344f9113,2,1,"Hugging_Face, Kaggle",Hugging_Face:Aloevera-Aloe barbadensis | Kaggle:Medicinal Leaf dataset\Aloevera,Aloe vera,APPROVED,Hugging_Face,Aloevera-Aloe barbadensis\144.jpg,True,False,False
DUP_00027,ba2250d1a0f13321618f822eb98e4e7415f3a6543171b33e880b4a78c68db02b,2,1,"Hugging_Face, Kaggle",Hugging_Face:Aloevera-Aloe barbadensis | Kaggle:Medicinal Leaf dataset\Aloevera,Aloe vera,APPROVED,Hugging_Face,Aloevera-Aloe barbadensis\146.jpg,True,False,False
DUP_00028,f6a962ccdf985cfc996b249e1cfec178d4c681c56a1e17bec16f4971bc8e7115,2,1,"Hugging_Face, Kaggle",Hugging_Face:Aloevera-Aloe barbadensis | Kaggle:Medicinal Leaf dataset\Aloevera,Aloe vera,APPROVED,Hugging_Face,Aloevera-Aloe barbadensis\148.jpg,True,False,False
DUP_00029,637db3578ed33cf30c4f6b9432e6399b6b2902f033a2a91201177835d8143753,2,1,"Hugging_Face, Kaggle",Hugging_Face:Aloevera-Aloe barbadensis | Kaggle:Medicinal Leaf dataset\Aloevera,Aloe vera,APPROVED,Hugging_Face,Aloevera-Aloe barbadensis\150.jpg,True,False,False
DUP_00030,3e30554a4614f751b21b23847ef08a621c1303d56e8e7232366603cf76d25814,2,1,"Hugging_Face, Kaggle",Hugging_Face:Aloevera-Aloe barbadensis | Kaggle:Medicinal Leaf dataset\Aloevera,Aloe vera,APPROVED,Hugging_Face,Aloevera-Aloe barbadensis\152.jpg,True,False,False
DUP_00031,ca195d99563205eb501235f9e15cdc1b128a34e98d066fa4a72f31887511a924,2,1,"Hugging_Face, Kaggle",Hugging_Face:Aloevera-Aloe barbadensis | Kaggle:Medicinal Leaf dataset\Aloevera,Aloe vera,APPROVED,Hugging_Face,Aloevera-Aloe barbadensis\154.jpg,True,False,False
DUP_00032,0673434c8210f84e3dd2a22f99939ab3021d5f2ec178a52c5fbfee6992b6c313,2,1,"Hugging_Face, Kaggle",Hugging_Face:Aloevera-Aloe barbadensis | Kaggle:Medicinal Leaf dataset\Aloevera,Aloe vera,APPROVED,Hugging_Face,Aloevera-Aloe barbadensis\156.jpg,True,False,False
DUP_00033,bfe9c5a9bc6e41b161cc7f975b9fb7e80613364dc5ffc8bfbb7df44e81b8337d,2,1,"Hugging_Face, Kaggle",Hugging_Face:Aloevera-Aloe barbadensis | Kaggle:Medicinal Leaf dataset\Aloevera,Aloe vera,APPROVED,Hugging_Face,Aloevera-Aloe barbadensis\158.jpg,True,False,False
DUP_00034,dc64b0e9d4aa3509d5e79092ab02c6dc8799f1b8e7e64d9859fe5d50e9e8cd10,2,1,"Hugging_Face, Kaggle",Hugging_Face:Aloevera-Aloe barbadensis | Kaggle:Medicinal Leaf dataset\Aloevera,Aloe vera,APPROVED,Hugging_Face,Aloevera-Aloe barbadensis\16.jpg,True,False,False
DUP_00035,dd4e36180dcb54131e61946d9c35298b69968183e02e60d2d2a01fd6a98ed9e0,2,1,"Hugging_Face, Kaggle",Hugging_Face:Aloevera-Aloe barbadensis | Kaggle:Medicinal Leaf dataset\Aloevera,Aloe vera,APPROVED,Hugging_Face,Aloevera-Aloe barbadensis\160.jpg,True,False,False
DUP_00036,12307a9f97b58b8fe7055670267fe9e5297fbc548bf3519c1371d9ee5449ec3a,2,1,"Hugging_Face, Kaggle",Hugging_Face:Aloevera-Aloe barbadensis | Kaggle:Medicinal Leaf dataset\Aloevera,Aloe vera,APPROVED,Hugging_Face,Aloevera-Aloe barbadensis\162.jpg,True,False,False
DUP_00037,ac0c353852c50787613bb06865df99a9062e0f508ec5301c2634570486823bae,2,1,"Hugging_Face, Kaggle",Hugging_Face:Aloevera-Aloe barbadensis | Kaggle:Medicinal Leaf dataset\Aloevera,Aloe vera,APPROVED,Hugging_Face,Aloevera-Aloe barbadensis\164.jpg,True,False,False
DUP_00038,15b99f97e14cff22a535ff376d254d89ea403cbcf30348562ff3c56c6bc2bfdc,2,1,"Hugging_Face, Kaggle",Hugging_Face:Aloevera-Aloe barbadensis | Kaggle:Medicinal Leaf dataset\Aloevera,Aloe vera,APPROVED,Hugging_Face,Aloevera-Aloe barbadensis\166.jpg,True,False,False
DUP_00039,0e0285ab4b0490bfe4f2746db3235869431f6c992b20c3c4cda5e020f42d7287,2,1,"Hugging_Face, Kaggle",Hugging_Face:Aloevera-Aloe barbadensis | Kaggle:Medicinal Leaf dataset\Aloevera,Aloe vera,APPROVED,Hugging_Face,Aloevera-Aloe barbadensis\168.jpg,True,False,False
DUP_00040,65be487281436cc747761f74b6a2a9a2653329ccd99c4e7c2f323b64bb374ac6,2,1,"Hugging_Face, Kaggle",Hugging_Face:Aloevera-Aloe barbadensis | Kaggle:Medicinal Leaf dataset\Aloevera,Aloe vera,APPROVED,Hugging_Face,Aloevera-Aloe barbadensis\170.jpg,True,False,False
DUP_00041,30fcf6ac6acfb0ed354969041d57e03b1e72d146738398d679f9e7399b936ee6,2,1,"Hugging_Face, Kaggle",Hugging_Face:Aloevera-Aloe barbadensis | Kaggle:Medicinal Leaf dataset\Aloevera,Aloe vera,APPROVED,Hugging_Face,Aloevera-Aloe barbadensis\172.jpg,True,False,False
DUP_00042,6fd6544e44303eea516922a113606b7cd494b8c8a07459767197d3cd823376fc,2,1,"Hugging_Face, Kaggle",Hugging_Face:Aloevera-Aloe barbadensis | Kaggle:Medicinal Leaf dataset\Aloevera,Aloe vera,APPROVED,Hugging_Face,Aloevera-Aloe barbadensis\174.jpg,True,False,False
DUP_00043,f45beae465a4de2a08e7c75ddb0381eb1953d952171b5f4e46632b6411130dd4,2,1,"Hugging_Face, Kaggle",Hugging_Face:Aloevera-Aloe barbadensis | Kaggle:Medicinal Leaf dataset\Aloevera,Aloe vera,APPROVED,Hugging_Face,Aloevera-Aloe barbadensis\176.jpg,True,False,False
DUP_00044,97163cb439848f00283ebf278c5fe0b1ecab0f0ef9a1f92b55c836ffdc63297b,2,1,"Hugging_Face, Kaggle",Hugging_Face:Aloevera-Aloe barbadensis | Kaggle:Medicinal Leaf dataset\Aloevera,Aloe vera,APPROVED,Hugging_Face,Aloevera-Aloe barbadensis\178.jpg,True,False,False
DUP_00045,c969c012f4c6003e46870ea4f7011ae3e4fc8ba286ce993cbb52efd1186471f0,2,1,"Hugging_Face, Kaggle",Hugging_Face:Aloevera-Aloe barbadensis | Kaggle:Medicinal Leaf dataset\Aloevera,Aloe vera,APPROVED,Hugging_Face,Aloevera-Aloe barbadensis\18.jpg,True,False,False
DUP_00046,5ce7659f5461f5ab01286a14ae1e61ecac7364818642f2da4048d74c364c35fe,2,1,"Hugging_Face, Kaggle",Hugging_Face:Aloevera-Aloe barbadensis | Kaggle:Medicinal Leaf dataset\Aloevera,Aloe vera,APPROVED,Hugging_Face,Aloevera-Aloe barbadensis\180.jpg,True,False,False
DUP_00047,3d11f696043769621d3dcf97a00a3be4a44bb2809fe506c819ae45dd16fe81ca,2,1,"Hugging_Face, Kaggle",Hugging_Face:Aloevera-Aloe barbadensis | Kaggle:Medicinal Leaf dataset\Aloevera,Aloe vera,APPROVED,Hugging_Face,Aloevera-Aloe barbadensis\182.jpg,True,False,False
DUP_00048,1933a820eac4dd3c6385151829bc74b931d6085dd3b48605589d187a0a875f86,2,1,"Hugging_Face, Kaggle",Hugging_Face:Aloevera-Aloe barbadensis | Kaggle:Medicinal Leaf dataset\Aloevera,Aloe vera,APPROVED,Hugging_Face,Aloevera-Aloe barbadensis\184.jpg,True,False,False
DUP_00049,b1116803319399539bc9ca1b7dde9426534fdd1d23c53dfd2deecd3eb90e0c1b,2,1,"Hugging_Face, Kaggle",Hugging_Face:Aloevera-Aloe barbadensis | Kaggle:Medicinal Leaf dataset\Aloevera,Aloe vera,APPROVED,Hugging_Face,Aloevera-Aloe barbadensis\186.jpg,True,False,False
DUP_00050,cec694f50e6303924346189c7216cd090442e416f9500ab648f709803768bbbc,2,1,"Hugging_Face, Kaggle",Hugging_Face:Aloevera-Aloe barbadensis | Kaggle:Medicinal Leaf dataset\Aloevera,Aloe vera,APPROVED,Hugging_Face,Aloevera-Aloe barbadensis\188.jpg,True,False,False
DUP_00051,85aa3d956ed1b948be62c5748002d10829bec74388b1513a2b3660bebccd1ec9,2,1,"Hugging_Face, Kaggle",Hugging_Face:Aloevera-Aloe barbadensis | Kaggle:Medicinal Leaf dataset\Aloevera,Aloe vera,APPROVED,Hugging_Face,Aloevera-Aloe barbadensis\190.jpg,True,False,False
DUP_00052,cb3a5fc484f0fcdd02f6dc8a57963c52c9045297a384fe0785f966f067a013e6,2,1,"Hugging_Face, Kaggle",Hugging_Face:Aloevera-Aloe barbadensis | Kaggle:Medicinal Leaf dataset\Aloevera,Aloe vera,APPROVED,Hugging_Face,Aloevera-Aloe barbadensis\192.jpg,True,False,False
DUP_00053,bb83790e226920d0bbc86613e43a38f852861551a6854d7b088caf75834badfc,2,1,"Hugging_Face, Kaggle",Hugging_Face:Aloevera-Aloe barbadensis | Kaggle:Medicinal Leaf dataset\Aloevera,Aloe vera,APPROVED,Hugging_Face,Aloevera-Aloe barbadensis\194.jpg,True,False,False
DUP_00054,e5500386535a666dbcdd2130a5c946591f68c1f10f6aff3bc26f170308768cd6,2,1,"Hugging_Face, Kaggle",Hugging_Face:Aloevera-Aloe barbadensis | Kaggle:Medicinal Leaf dataset\Aloevera,Aloe vera,APPROVED,Hugging_Face,Aloevera-Aloe barbadensis\196.jpg,True,False,False
DUP_00055,75d11007966025596cfe12da6e1befefeaba647dedd6d4eb2c98c486bdd32f75,2,1,"Hugging_Face, Kaggle",Hugging_Face:Aloevera-Aloe barbadensis | Kaggle:Medicinal Leaf dataset\Aloevera,Aloe vera,APPROVED,Hugging_Face,Aloevera-Aloe barbadensis\198.jpg,True,False,False
DUP_00056,be03ca15fdcf44d8bf7188bb9b55b9b7e5a2bad025ba71d99104db9469c37874,2,1,"Hugging_Face, Kaggle",Hugging_Face:Aloevera-Aloe barbadensis | Kaggle:Medicinal Leaf dataset\Aloevera,Aloe vera,APPROVED,Hugging_Face,Aloevera-Aloe barbadensis\2.jpg,True,False,False
DUP_00057,a87451bd743b269c965243d1dcf001874f3309398bc51c463d771d1b5e6fbb42,2,1,"Hugging_Face, Kaggle",Hugging_Face:Aloevera-Aloe barbadensis | Kaggle:Medicinal Leaf dataset\Aloevera,Aloe vera,APPROVED,Hugging_Face,Aloevera-Aloe barbadensis\20.jpg,True,False,False
DUP_00058,216d2d89aac57b048ab4d38dde9f44a48013c9742b48aa6c1cb0197d3d1a2e02,2,1,"Hugging_Face, Kaggle",Hugging_Face:Aloevera-Aloe barbadensis | Kaggle:Medicinal Leaf dataset\Aloevera,Aloe vera,APPROVED,Hugging_Face,Aloevera-Aloe barbadensis\200.jpg,True,False,False
DUP_00059,fab9b9853a9e0488ca0e9ee1c47c31ee1f3b703459a96825cc8ade3a42472cfd,2,1,"Hugging_Face, Kaggle",Hugging_Face:Aloevera-Aloe barbadensis | Kaggle:Medicinal Leaf dataset\Aloevera,Aloe vera,APPROVED,Hugging_Face,Aloevera-Aloe barbadensis\202.jpg,True,False,False
DUP_00060,9039abd35b8cdb7a6edb1a50326141108f37eb63b7ae4bfe97fd1817ecf36f35,2,1,"Hugging_Face, Kaggle",Hugging_Face:Aloevera-Aloe barbadensis | Kaggle:Medicinal Leaf dataset\Aloevera,Aloe vera,APPROVED,Hugging_Face,Aloevera-Aloe barbadensis\204.jpg,True,False,False
DUP_00061,6691a26771fd5b0960b31ab81b9a7edfde8c689ae15a052f62de39bfbc7ea151,2,1,"Hugging_Face, Kaggle",Hugging_Face:Aloevera-Aloe barbadensis | Kaggle:Medicinal Leaf dataset\Aloevera,Aloe vera,APPROVED,Hugging_Face,Aloevera-Aloe barbadensis\206.jpg,True,False,False
DUP_00062,57b722d39a385bb7d3d044fd7092bf234618d8d65702dd30facdb64d6d2a46a7,2,1,"Hugging_Face, Kaggle",Hugging_Face:Aloevera-Aloe barbadensis | Kaggle:Medicinal Leaf dataset\Aloevera,Aloe vera,APPROVED,Hugging_Face,Aloevera-Aloe barbadensis\208.jpg,True,False,False
DUP_00063,4ff3aecf539a2bd3edcb2b29159cd7341ee0463b73baf525eb6c28ce25cf58a0,2,1,"Hugging_Face, Kaggle",Hugging_Face:Aloevera-Aloe barbadensis | Kaggle:Medicinal Leaf dataset\Aloevera,Aloe vera,APPROVED,Hugging_Face,Aloevera-Aloe barbadensis\210.jpg,True,False,False
DUP_00064,9d9ca1210a8442b1c9cf3dd6b4020f9360961e2dbb3ccfaffb0909d2a15bd9db,2,1,"Hugging_Face, Kaggle",Hugging_Face:Aloevera-Aloe barbadensis | Kaggle:Medicinal Leaf dataset\Aloevera,Aloe vera,APPROVED,Hugging_Face,Aloevera-Aloe barbadensis\212.jpg,True,False,False
DUP_00065,e28f4aac7e0dfc508edc7753dd92edd2b70ee4cd519290871bca590d2e7eb8d1,2,1,"Hugging_Face, Kaggle",Hugging_Face:Aloevera-Aloe barbadensis | Kaggle:Medicinal Leaf dataset\Aloevera,Aloe vera,APPROVED,Hugging_Face,Aloevera-Aloe barbadensis\214.jpg,True,False,False
DUP_00066,03ddd4b1045ab9f741b7dfd1b7d3f91aae64fc23a56d270f178c584b62908847,2,1,"Hugging_Face, Kaggle",Hugging_Face:Aloevera-Aloe barbadensis | Kaggle:Medicinal Leaf dataset\Aloevera,Aloe vera,APPROVED,Hugging_Face,Aloevera-Aloe barbadensis\216.jpg,True,False,False
DUP_00067,433f696272138da2e9bae4c75d71b6a705a742e6a7e566f60d0a0b47611695a8,2,1,"Hugging_Face, Kaggle",Hugging_Face:Aloevera-Aloe barbadensis | Kaggle:Medicinal Leaf dataset\Aloevera,Aloe vera,APPROVED,Hugging_Face,Aloevera-Aloe barbadensis\218.jpg,True,False,False
DUP_00068,3a8d9a86995633479910c48d290ab12230c7e1b64558c1bd1658e7c2d4ad6591,2,1,"Hugging_Face, Kaggle",Hugging_Face:Aloevera-Aloe barbadensis | Kaggle:Medicinal Leaf dataset\Aloevera,Aloe vera,APPROVED,Hugging_Face,Aloevera-Aloe barbadensis\22.jpg,True,False,False
DUP_00069,257c7d1e4e122fddb478d1200c7eb2d5562a0c1fd541924ca29531a894c40314,2,1,"Hugging_Face, Kaggle",Hugging_Face:Aloevera-Aloe barbadensis | Kaggle:Medicinal Leaf dataset\Aloevera,Aloe vera,APPROVED,Hugging_Face,Aloevera-Aloe barbadensis\220.jpg,True,False,False
DUP_00070,fbcbdddff1f2e5b9632140c43cdb11d14c199fb92efa53c3521630f68ca95e12,2,1,"Hugging_Face, Kaggle",Hugging_Face:Aloevera-Aloe barbadensis | Kaggle:Medicinal Leaf dataset\Aloevera,Aloe vera,APPROVED,Hugging_Face,Aloevera-Aloe barbadensis\222.jpg,True,False,False
DUP_00071,c1aa3e09f909b06eed4583e4ecf4a372e66d821b7fe4a4e56df7d41acac9df71,2,1,"Hugging_Face, Kaggle",Hugging_Face:Aloevera-Aloe barbadensis | Kaggle:Medicinal Leaf dataset\Aloevera,Aloe vera,APPROVED,Hugging_Face,Aloevera-Aloe barbadensis\224.jpg,True,False,False
DUP_00072,528d56a2ec1b6c3ce76244423cd3be716710bdd62e09025bf1acad07f4c2120b,2,1,"Hugging_Face, Kaggle",Hugging_Face:Aloevera-Aloe barbadensis | Kaggle:Medicinal Leaf dataset\Aloevera,Aloe vera,APPROVED,Hugging_Face,Aloevera-Aloe barbadensis\226.jpg,True,False,False
DUP_00073,03188857bfe944d50028c49529503802ec779b15834ddb9105c888aa76b7186a,2,1,"Hugging_Face, Kaggle",Hugging_Face:Aloevera-Aloe barbadensis | Kaggle:Medicinal Leaf dataset\Aloevera,Aloe vera,APPROVED,Hugging_Face,Aloevera-Aloe barbadensis\24.jpg,True,False,False
DUP_00074,50e0892fbc0aea4cd6ea9c46464488f21a7efe29a9b7779cea761c98954b6f7b,2,1,"Hugging_Face, Kaggle",Hugging_Face:Aloevera-Aloe barbadensis | Kaggle:Medicinal Leaf dataset\Aloevera,Aloe vera,APPROVED,Hugging_Face,Aloevera-Aloe barbadensis\26.jpg,True,False,False
DUP_00075,2a727719305fd10b745774cf93ab965b058f09588dce5ca8688210233a450213,2,1,"Hugging_Face, Kaggle",Hugging_Face:Aloevera-Aloe barbadensis | Kaggle:Medicinal Leaf dataset\Aloevera,Aloe vera,APPROVED,Hugging_Face,Aloevera-Aloe barbadensis\260.jpg,True,False,False
DUP_00076,6aae532f9eda22277f2d14aa0fa5d8f6f4d4fe1594cb1a8eadcb44be68bd513c,2,1,"Hugging_Face, Kaggle",Hugging_Face:Aloevera-Aloe barbadensis | Kaggle:Medicinal Leaf dataset\Aloevera,Aloe vera,APPROVED,Hugging_Face,Aloevera-Aloe barbadensis\262.jpg,True,False,False
DUP_00077,851810fe6514e4d93ed204856b3cc8bafe80dae64985efdc108948ccb469f67e,2,1,"Hugging_Face, Kaggle",Hugging_Face:Aloevera-Aloe barbadensis | Kaggle:Medicinal Leaf dataset\Aloevera,Aloe vera,APPROVED,Hugging_Face,Aloevera-Aloe barbadensis\264.jpg,True,False,False
DUP_00078,3d0dceb6ef48956a52a8ea9905a0b953ed0f3e1ad1da123d70604efdc3f440ad,2,1,"Hugging_Face, Kaggle",Hugging_Face:Aloevera-Aloe barbadensis | Kaggle:Medicinal Leaf dataset\Aloevera,Aloe vera,APPROVED,Hugging_Face,Aloevera-Aloe barbadensis\266.jpg,True,False,False
DUP_00079,2c13b1592445575c42b98a4e0e89f03805176d0fa23a4ea5f515932d48d9072a,2,1,"Hugging_Face, Kaggle",Hugging_Face:Aloevera-Aloe barbadensis | Kaggle:Medicinal Leaf dataset\Aloevera,Aloe vera,APPROVED,Hugging_Face,Aloevera-Aloe barbadensis\268.jpg,True,False,False
DUP_00080,fa6b1e9c250f053c59b1062ed5627782ebb98bdda73b0e51ac8045cafa2ec920,2,1,"Hugging_Face, Kaggle",Hugging_Face:Aloevera-Aloe barbadensis | Kaggle:Medicinal Leaf dataset\Aloevera,Aloe vera,APPROVED,Hugging_Face,Aloevera-Aloe barbadensis\270.jpg,True,False,False
DUP_00081,db091ee272464faa6367d80d4ab2adad801ac1f1e95dc8e81366490eb660aa36,2,1,"Hugging_Face, Kaggle",Hugging_Face:Aloevera-Aloe barbadensis | Kaggle:Medicinal Leaf dataset\Aloevera,Aloe vera,APPROVED,Hugging_Face,Aloevera-Aloe barbadensis\272.jpg,True,False,False
DUP_00082,158cd74da2c51c92e0f9af2c299acf82cff4d6a6b2d39d906dbd16747f5940ad,2,1,"Hugging_Face, Kaggle",Hugging_Face:Aloevera-Aloe barbadensis | Kaggle:Medicinal Leaf dataset\Aloevera,Aloe vera,APPROVED,Hugging_Face,Aloevera-Aloe barbadensis\274.jpg,True,False,False
